weight_t,weight_value,airflow_t,airflow_value
0,301.2261353,0,159.8424225
0.020277778,303.7737122,0.03,384.4606018
0.1175,300.9555664,0.78,374.3634033
0.791111111,301.7996216,1.03,371.5142212
0.7925,302.4004211,1.279722222,374.5184021
1.231111111,302.9154053,1.529722222,371.9911194
1.4575,300.9984436,1.779722222,376.4972534
1.5825,302.1286011,2.279722222,374.7806396
1.583888889,301.5421143,2.529444444,375.32901
1.733888889,300.6122437,3.029444444,372.2295532
1.92,302.7437439,3.279444444,371.5142212
2.374166667,302.2287598,3.529444444,379.8232727
2.375555555,301.1987915,3.779444444,375.9131775
2.507222222,302.8295898,4.029444444,373.6481323
3.105833333,300.783905,4.279166667,372.0030212
3.162777778,301.499176,4.529166667,377.5701904
3.168333333,302.1286011,4.779166667,376.4972534
3.605833333,302.9154053,5.529166667,374.6853027
3.725277778,300.8554077,5.779166667,374.7210083
3.957222222,301.4705505,6.028888889,378.9411316
3.961388889,301.4419556,6.278888889,375.4243774
3.986388889,302.7866821,6.528888889,377.880127
4.586111111,300.6837463,7.028888889,374.303833
4.748611111,301.9855347,7.278888889,375.4959106
4.75,300.8554077,7.528611111,373.9104004
4.955555556,302.6150208,7.778611111,374.7568054
5.430555556,300.512085,8.028611111,375.0667725
5.533333333,301.5421143,8.278611111,373.230896
5.543055555,301.8282166,8.528611111,373.2904968
5.576388889,302.5148621,8.778611111,377.9159241
6.138611111,300.0686646,9.278333333,374.6853027
6.331666667,300.9269714,9.528333333,374.1965027
6.335833333,300.783905,9.778333333,371.1447144
6.915,302.0285034,10.02833333,377.2125549
7.092777778,300.0114441,10.27833333,375.8297119
7.123333333,300.8125305,10.52805556,373.1951294
7.124722222,301.7852783,10.77805556,373.5765991
7.338611111,301.8282166,11.02805556,373.3143616
7.677222222,299.7825623,11.27805556,375.4243774
7.914722222,300.5979004,11.52805556,373.2904968
7.916111111,301.5707397,11.77805556,375.5912781
7.973055555,301.6565552,12.02805556,374.744873
8.657777778,299.3819885,12.27777778,375.4363403
8.705,299.7253418,12.52777778,369.4638367
8.707777778,300.6408691,12.77777778,373.7196655
9.311666667,299.1531067,13.02777778,372.5871887
9.464444444,301.1844482,13.27777778,373.4931641
9.493611111,300.2259827,13.52777778,372.9924927
9.499166667,299.2961426,14.0275,376.4972534
9.703333333,300.8411255,14.2775,376.5687866
10.15888889,297.1932678,14.7775,373.8507996
10.28805556,298.394928,15.0275,376.8668518
10.30333333,298.2375793,15.2775,377.0814209
10.75722222,296.9357605,15.52722222,375.0667725
10.91138889,300.0114441,15.66611111,375.2932129
11.08083333,298.8383789,15.91611111,377.2483215
11.08361111,299.3676758,16.16611111,373.8865662
11.61972222,300.4548645,16.41611111,374.3157043
11.81416667,297.6796265,16.66611111,377.5820923
11.8725,299.3962708,16.91611111,375.4005432
11.87527778,298.5379639,17.16583333,375.4482422
12.09611111,299.8397827,17.41583333,376.1277466
12.51111111,297.7654724,17.91583333,376.3780518
12.66388889,298.309082,18.16583333,372.2295532
12.66944444,299.1531067,18.41583333,370.4413452
12.86805556,299.6681213,18.66555556,376.1515808
13.22777778,297.4221497,18.91555556,371.66922
13.45138889,298.8097839,19.16555556,374.709137
13.4625,298.1374207,19.41555556,373.7434998
14.00666667,299.8254395,19.66555556,373.9580688
14.14972222,297.6510315,19.91555556,376.1157837
14.24416667,299.3819885,20.16527778,374.6971741
14.24972222,298.5379639,20.41527778,376.4853821
14.48444444,300.0114441,20.66527778,375.0667725
15.01638889,297.6510315,20.91527778,371.8122864
15.03444444,299.3676758,21.16527778,375.0667725
15.04277778,299.2246094,21.41527778,375.0667725
15.17472222,300.0256958,21.66527778,371.5023499
15.39833333,297.7225952,21.91527778,373.2189941
15.83,298.6810303,22.165,377.427124
15.83138889,298.5522766,22.915,369.6664734
16.37027778,295.6340027,23.165,363.2767944
16.53,301.7852783,23.66472222,357.7691956
16.6175,300.1831055,23.91472222,351.5106201
16.62166667,299.2675476,24.41472222,345.4070435
16.63138889,298.7668457,24.66472222,340.09021
17.09527778,301.4705505,24.91472222,336.1920166
17.41166667,300.5693054,25.16444444,336.871521
17.41722222,299.8826599,25.41444444,330.7321777
17.59916667,301.0842896,25.91444444,321.1952515
17.91166667,298.6810303,26.16444444,316.5340881
18.20333333,299.8254395,26.66416667,308.0462646
18.20472222,299.1101685,26.91416667,305.3878479
18.4075,301.3275146,27.66416667,296.2443848
18.84333333,298.1517334,27.91416667,291.1302185
18.99333333,299.6967163,28.41388889,282.6900635
18.99611111,299.4964294,28.66388889,279.6382751
19.26833333,299.8826599,29.16388889,270.8643494
19.66694444,296.9071655,29.41388889,265.8455505
19.78638889,298.3377075,29.91388889,259.0743408
19.78916667,297.9085083,30.16361111,253.7217712
19.96694444,299.052948,30.66361111,245.8776855
20.51388889,296.5924377,30.91361111,246.7955933
20.575,298.0801697,31.41361111,234.8029785
20.58333333,297.0931702,31.66333333,232.7763672
20.61111111,298.8097839,32.41333333,217.3266296
21.20972222,296.1489868,32.66333333,217.8034668
21.36805556,296.7212219,33.16305556,210.4958191
21.37638889,297.6939697,33.41305556,207.753952
22.05944444,298.1660461,33.91305556,195.8567047
22.09833333,295.920105,34.16305556,193.5082397
22.15666667,297.4937134,34.66277778,186.2840576
22.16638889,297.3649292,34.91277778,191.9584961
22.53305556,295.4909668,35.16277778,187.3569489
22.80805556,298.4664612,35.41277778,188.0245209
22.9525,298.2947998,35.66277778,188.7397919
22.96361111,298.0945129,35.91277778,187.2019806
23.00666667,296.7640991,36.1625,187.3092651
23.09555556,298.7811584,36.4125,186.963562
23.7425,297.3363037,36.9125,186.2602081
23.74944444,297.9657288,37.1625,189.776947
23.98138889,296.8070679,37.4125,185.7476044
24.12861111,298.4092407,37.6625,189.0974121
24.52444444,297.6081543,37.9125,187.0827637
24.55361111,297.5223083,38.16222222,185.5806885
25.17833333,298.394928,38.66222222,187.4165497
25.32277778,296.7498474,38.91222222,188.3702393
25.32416667,297.708252,39.16222222,189.4550781
25.35055556,297.9371338,39.41222222,189.0258942
25.82,298.5809021,39.66194444,188.4298401
25.87277778,296.7640991,39.91194444,189.0974121
26.11027778,297.5223083,40.16194444,187.094696
26.12555556,297.322052,40.41194444,188.3940887
26.25888889,298.4950562,40.66194444,186.6059113
26.70444444,296.2777405,40.91194444,188.751709
26.90166667,297.2790833,41.16166667,186.9993286
26.92666667,297.1074219,41.91166667,190.0749664
27.09472222,296.7498474,42.16166667,187.3330994
27.2725,297.8656311,42.41166667,185.1753693
27.69194444,297.6367493,42.66138889,190.5637207
27.70444444,297.5651855,42.91138889,187.8576355
27.84611111,296.964386,43.16138889,188.5371399
28.05027778,298.2518616,43.41138889,188.3225555
28.42638889,297.7940674,43.66138889,188.7636261
28.51527778,297.622406,43.91138889,190.1464844
28.56527778,297.2790833,44.16111111,189.0258942
29.24166667,298.2089539,44.41111111,189.4193115
29.275,298.0515747,44.66111111,189.8126984
29.28611111,297.980072,44.91111111,187.1900635
29.33194444,298.2804871,45.16111111,189.0974121
29.42638889,297.5079651,45.41111111,188.9305267
30.05388889,297.8512878,45.66111111,191.2551575
30.15527778,298.0801697,45.91111111,186.248291
30.35527778,297.980072,46.41083333,189.4789124
30.45666667,298.2804871,46.66083333,186.8204956
30.77888889,298.4092407,46.91083333,188.3583221
30.93444444,298.695343,47.16083333,189.4073944
30.93583333,298.0801697,47.41083333,188.4060059
31.16361111,298.9099121,47.66055556,185.9502716
31.59944444,298.7382507,47.91055556,185.5330048
31.67722222,298.6381226,48.16055556,186.5939941
32.12861111,299.2246094,48.41055556,189.1093445
32.51194444,299.5822449,48.66055556,190.5875702
32.78277778,299.4821167,48.91055556,187.8695526
33.13805556,299.9542236,49.16027778,187.6669006
33.39083333,299.8826599,49.41027778,188.0245209
33.97555556,300.3404236,49.66027778,187.8576355
34.02138889,299.9684753,49.91027778,189.3000793
34.04916667,300.3117981,50.16027778,188.6921082
34.51833333,301.0270691,50.41027778,189.0974121
34.61972222,300.1401367,50.66,186.6297607
34.81833333,300.397644,50.91,190.5279541
34.92388889,300.2832031,51.41,187.5715332
35.09888889,300.9841919,51.66,186.6059113
35.14888889,297.708252,51.91,184.817749
35.61555556,298.6381226,52.15972222,189.3477631
35.63638889,298.4807434,52.40972222,186.8681793
36.04611111,299.4105835,52.65972222,188.0006714
36.30416667,297.1360474,52.90972222,187.3092651
36.40555556,298.0229492,53.15972222,189.0258942
36.44444444,298.0945129,53.65972222,188.0126038
37.16944444,296.3349609,53.90972222,192.0896301
37.19305556,296.606781,54.40944444,188.0126038
37.20833333,296.3206482,54.65944444,188.7278748
37.90666667,297.5795288,55.15944444,186.5939941
37.97333333,297.3363037,55.40944444,185.485321
38.02055556,297.0073242,55.65916667,189.0974121
38.22055556,296.6496582,56.15916667,190.4802704
38.415,298.2089539,56.40916667,191.2193909
38.75527778,297.708252,56.90916667,188.0126038
38.79,297.5365906,57.15888889,186.6178436
39.17194444,297.1074219,57.65888889,189.085495
39.48722222,298.309082,57.90888889,187.8099365
39.51611111,298.1374207,58.15888889,187.3211823
39.57583333,298.3233948,58.40888889,190.1584167
39.655,297.9943542,58.65861111,186.9516296
39.87166667,298.6667175,58.90861111,189.4193115
40.32166667,298.4378357,59.15861111,188.0245209
40.36888889,298.5951843,59.40861111,187.6549683
40.58138889,298.2947998,59.65861111,188.0245209
40.80222222,299.0958862,59.90861111,187.8099365
41.12277778,298.9814453,60.15833333,187.7503357
41.16027778,299.1673889,60.65833333,189.0020447
41.72833333,298.6381226,60.90833333,186.653595
41.80611111,300.3690186,61.15833333,188.036438
41.91444444,299.2818298,61.65833333,188.751709
41.97555556,299.4248962,61.90833333,188.036438
42.48361111,299.5679321,62.15722222,185.1753693
42.55305556,298.9099121,62.40722222,188.4060059
42.66277778,299.1531067,62.65722222,187.1185303
42.74472222,299.353363,63.15722222,189.1212616
42.86138889,299.3247681,63.40722222,184.8296661
43.47388889,299.8970032,63.65694444,190.1345673
43.52666667,298.9671326,63.90694444,189.8246307
43.56833333,299.2675476,64.15694444,190.5994873
43.65583333,299.5107117,64.65694444,187.6669006
44.22361111,299.5250244,64.90694444,187.6907349
44.25555556,298.8526917,65.15666667,183.0415039
44.34166667,299.1244812,65.65666667,187.6549683
44.77777778,299.4964294,65.90583333,186.7966461
44.8,296.4494019,66.15583333,190.897522
45.10416667,298.0801697,66.40583333,188.4060059
45.15,298.065918,66.65555556,188.0602875
45.36666667,297.3649292,66.90555556,186.0098724
45.50416667,298.723938,67.15555556,187.6907349
45.90388889,298.4950562,67.40555556,186.9993286
45.91083333,297.8226929,67.65555556,188.0483704
46.58722222,298.7668457,67.90555556,188.0483704
46.69555556,298.3663025,68.15527778,189.1212616
46.72055556,298.309082,68.40527778,187.6907349
46.84138889,298.4664612,68.65527778,188.1914215
46.87055556,297.7511902,68.90527778,188.4060059
47.46222222,298.1517334,69.15527778,188.7159424
47.505,297.622406,69.40527778,187.3569489
47.91055556,297.5509338,69.65527778,187.3807983
48.00222222,298.309082,69.90527778,182.3262482
48.26194444,298.0229492,70.405,186.2721252
48.29666667,297.9085083,70.655,189.8365479
48.43416667,298.2518616,70.905,191.1359406
49.02166667,297.3363037,71.155,187.6907349
49.03138889,297.4650879,71.405,188.549057
49.1075,297.8799133,71.65472222,188.3821564
49.42,297.9514771,71.90472222,190.182251
49.595,297.322052,72.15472222,189.4669952
49.83666667,297.5795288,72.40472222,185.2349854
49.86722222,297.350647,72.65472222,191.2551575
49.87555556,297.8799133,72.90472222,187.4284668
50.04361111,297.2790833,73.40444444,189.3119965
50.65444444,297.2362061,73.65444444,184.4362793
50.71972222,297.4937134,73.81694444,187.5715332
50.78083333,297.6796265,74.31694444,185.6283722
50.88777778,297.0788269,74.56666667,186.2602081
51.40583333,297.322052,74.81666667,187.6669006
51.50027778,297.1217651,75.06666667,185.5926056
51.56694444,296.9357605,75.31666667,188.6444244
51.57111111,297.322052,75.56666667,188.7874756
52.2375,297.1932678,75.81666667,188.4060059
52.2875,297.0645447,76.06666667,188.0245209
52.81944444,297.3935242,76.56638889,189.1093445
52.86111111,296.9501038,76.81638889,188.1675873
52.97916667,297.350647,77.31638889,185.5330048
53.06666667,296.9501038,77.56638889,187.5715332
53.58055556,297.0073242,77.81638889,188.4060059
53.65972222,296.8070679,78.06611111,187.5476837
53.80833333,297.0216064,78.31611111,188.4060059
53.86944444,296.87854,78.56611111,187.2854309
54.50666667,297.2218628,78.81611111,188.036438
54.58861111,296.9501038,79.06611111,185.8906555
54.63861111,296.8356628,79.31611111,184.1143951
55.13722222,296.7784424,79.56583333,188.4060059
55.2525,297.2218628,79.81583333,185.7476044
55.365,296.7498474,80.06583333,189.7411804
55.4775,296.7498474,80.56583333,186.5463104
55.62444444,297.2362061,80.81583333,186.2602081
55.92166667,296.7212219,81.06583333,188.7636261
56.13972222,297.0502014,81.31555556,187.9410706
56.20361111,297.0073242,81.56555556,188.4060059
56.30083333,297.1789856,81.81555556,186.582077
56.41194444,296.8070679,82.31555556,189.288147
56.93138889,297.1503906,82.56527778,187.3330994
57.01333333,297.2934265,82.81527778,187.166214
57.1825,296.7784424,83.06527778,188.3940887
57.68388889,297.1074219,83.31527778,188.346405
57.88388889,297.2790833,83.81527778,190.3610687
57.97,297.322052,84.06527778,188.751709
58.38944444,296.6354065,84.565,187.3330994
58.51833333,296.964386,84.815,188.882843
58.585,296.9071655,85.065,188.1437378
58.87527778,297.1074219,85.315,189.8246307
58.95861111,296.8499451,85.565,185.9025879
59.16694444,297.0216064,86.06472222,189.1212616
59.41277778,297.4793701,86.31472222,189.4789124
59.50444444,297.622406,86.56472222,190.110733
59.79611111,295.505249,87.06472222,187.368866
60.0225,296.8356628,87.31472222,188.0483704
60.17777778,296.8213196,87.56444444,190.182251
60.45416667,297.1217651,87.81444444,187.702652
60.82083333,296.87854,88.06444444,187.0469971
60.98888889,297.0931702,88.56444444,189.4789124
61.15416667,297.0359497,88.81444444,188.7636261
61.24305556,297.6081543,89.06444444,186.6297607
61.70416667,297.7654724,89.31416667,188.7636261
61.75416667,297.7798157,89.56416667,189.9676819
61.79444444,297.350647,89.81416667,186.6774445
61.97055556,297.9514771,90.06416667,187.7384186
62.41833333,297.8799133,90.31416667,187.6907349
62.63222222,297.9228516,90.56388889,187.702652
62.71694444,297.7940674,90.81388889,185.4614716
62.92805556,298.4235229,91.06388889,186.2721252
63.2725,298.4235229,91.31388889,189.8365479
63.4225,298.4664612,91.81388889,186.6893616
63.92083333,298.9528198,92.06388889,187.3450317
63.98611111,298.7382507,92.31361111,188.0483704
64.13194444,299.1387939,92.56361111,188.0483704
64.34444444,298.9099121,92.81361111,188.417923
64.42638889,299.439209,93.06361111,193.7585754
64.85138889,299.2389221,93.31361111,188.5132904
64.9875,299.2389221,93.56361111,187.7265015
65.28722222,299.1673889,94.06333333,189.1212616
65.33722222,299.6251526,94.31333333,186.582077
65.6775,299.7253418,94.56333333,188.036438
65.84972222,299.8397827,94.81333333,187.3330994
65.96416667,300.0972595,95.06333333,186.6178436
66.47083333,299.9398804,95.31333333,187.6907349
66.57916667,300.0686646,95.56305556,186.6059113
66.70833333,300.3404236,95.81305556,186.9039612
66.76388889,300.0543213,96.06305556,191.2551575
67.04722222,299.9112549,96.31305556,187.9887543
67.28194444,300.0114441,96.56305556,185.8906555
67.59444444,299.6537781,96.81305556,188.036438
68.00416667,300.0972595,97.31277778,187.3807983
68.10972222,300.4405823,97.56277778,186.963562
68.17194444,299.9398804,97.81277778,188.036438
68.35388889,300.4692078,98.06277778,187.368866
68.85944444,300.4405823,98.31277778,188.036438
68.88027778,300.5406799,98.5625,186.963562
68.92055556,300.7695618,98.8125,188.5609741
69.05111111,300.3404236,99.0625,186.8920135
69.60527778,300.5693054,99.5625,186.9993286
69.72472222,300.7123413,99.8125,189.2762299
69.88583333,302.1715393,100.0625,187.9291534
70.32166667,299.0672607,100.3122222,190.8856049
70.41888889,300.6122437,100.5622222,189.4550781
70.45222222,300.6408691,100.8122222,187.6788177
70.57722222,300.9984436,101.0622222,191.1836243
70.93833333,299.9112549,101.3122222,188.7159424
71.11611111,300.7123413,101.8122222,189.8126984
71.305,301.0270691,102.0619444,186.5939941
71.57416667,302.6150208,102.3119444,189.4550781
71.5825,299.9828186,102.5619444,188.1556702
71.84083333,301.9855347,102.8119444,188.5967407
72.11444444,301.2702942,103.0619444,189.4669952
72.73805556,301.885437,103.3119444,186.5939941
72.81444444,301.5993347,103.5616667,187.3092651
73.0075,301.499176,103.8116667,186.6655273
73.38638889,301.8282166,104.0616667,187.03508
73.3975,301.3847351,104.3116667,185.7595367
73.56694444,302.0141602,104.5616667,188.0245209
73.65166667,301.4705505,104.8116667,187.1781311
73.76138889,301.9855347,105.0616667,187.3092651
74.36694444,302.0999756,105.3113889,188.3940887
74.47361111,302.0427551,105.5613889,188.7278748
74.79583333,302.0141602,105.8113889,186.4271088
74.86805556,302.1286011,106.0613889,187.5715332
75.12777778,302.0427551,106.3113889,185.1992188
75.3625,302.3002625,106.5611111,189.1093445
75.64861111,302.4290466,106.8111111,187.1423645
75.65972222,302.1286011,107.0611111,187.0589294
75.83611111,302.4004211,107.3111111,189.1093445
76.01666667,302.3146057,107.5611111,185.8549042
76.41361111,302.5720825,107.8111111,185.8787384
76.69138889,302.5291443,108.0611111,189.0974121
76.94694444,302.6722412,108.3108333,186.582077
77.39138889,302.6436157,108.5608333,187.9768372
77.60805556,302.6150208,108.8108333,187.9530029
78.08555556,303.0298462,109.0608333,189.085495
78.26611111,302.901123,109.3108333,187.4761658
78.43694444,302.8009644,109.5608333,189.8007813
78.82722222,303.0441589,109.8108333,186.9397125
79.00916667,303.1442871,110.0605556,188.7159424
79.18277778,303.2301331,110.3105556,187.297348
79.31472222,303.1156921,110.5605556,187.6669006
79.74222222,303.4161072,110.8105556,186.9397125
79.96444444,303.3731689,111.3105556,187.6669006
79.96583333,303.9167786,111.5602778,187.6549683
80.49361111,303.6306763,111.8102778,189.0974121
80.96027778,304.0741272,112.3102778,188.6325073
81.32944444,303.8452454,112.5602778,186.582077
81.5225,304.1313477,112.8102778,185.1634521
81.71416667,304.0312195,113.0602778,187.6549683
81.72666667,304.1456909,113.31,187.3092651
82.08638889,304.3316345,113.56,187.2854309
82.44444444,304.2887268,113.81,189.8126984
82.92777778,303.5448303,114.06,185.4972382
82.98055556,305.2042542,114.5597222,188.3821564
83.09722222,304.41745,114.8097222,187.3450317
83.12083333,304.6177368,115.0597222,185.5806885
83.41111111,305.4760437,115.3097222,187.2854309
